"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Управление пользователями","0","Регистрация","1","0","Создание уникального пользователя","0"
"0","Управление пользователями","0","Логин","1","0","Вход под существующим пользователем","0"
"0","Управление пользователями","0","Регистрация","3","0","Создание пользователя без обязательного поля","0"
"0","Заказы","0","Создание заказа","1","0","Создание заказа с ингредиентами","0"
"0","Управление пользователями","0","Регистрация","1","0","Создание уже существующего пользователя","0"
"0","Заказы","0","Создание заказа","1","0","Создание заказа без авторизации","0"
"0","Заказы","0","Создание заказа","1","0","Создание заказа без ингредиентов","0"
"0","Заказы","0","Создание заказа","1","0","Создание заказа с авторизацией","0"
"0","Управление пользователями","0","Логин","1","0","Вход с неверными данными","0"
"0","Заказы","1","Создание заказа","0","0","Создание заказа с неверным хешем ингредиентов","0"
